id_team,team_shortname,top_movement,top_off_ball_runs,top_choice,top_choice_attempts,top_press,top_movement_build_up,top_movement_create,top_movement_finish,top_movement_direct,top_movement_quick_break,top_movement_transition,top_movement_set_play,top_movement_chaotic,top_off_ball_runs_build_up,top_off_ball_runs_create,top_off_ball_runs_finish,top_off_ball_runs_direct,top_off_ball_runs_quick_break,top_off_ball_runs_transition,top_off_ball_runs_set_play,top_off_ball_runs_chaotic,top_off_ball_runs_behind,top_off_ball_runs_coming_short,top_off_ball_runs_cross_receiver,top_off_ball_runs_dropping_off,top_off_ball_runs_overlap,top_off_ball_runs_pulling_half_space,top_off_ball_runs_pulling_wide,top_off_ball_runs_run_ahead_of_the_ball,top_off_ball_runs_support,top_off_ball_runs_underlap,top_press_pressing,top_press_pressure,top_press_counter_press,top_press_recovery_press,top_press_other,top_movement_winning,top_movement_drawing,top_movement_loosing,top_off_ball_runs_winning,top_off_ball_runs_drawing,top_off_ball_runs_loosing,top_choice_winning,top_choice_drawing,top_choice_loosing,top_choice_attempts_winning,top_choice_attempts_drawing,top_choice_attempts_loosing,top_press_winning,top_press_drawing,top_press_loosing,top_movement_left,top_movement_center,top_movement_right,top_movement_middle_third,top_movement_attacking_third,top_movement_penalty,top_off_ball_runs_left,top_off_ball_runs_center,top_off_ball_runs_right,top_off_ball_runs_middle_third,top_off_ball_runs_attacking_third,top_off_ball_runs_penalty,top_choice_left,top_choice_center,top_choice_right,top_choice_attempts_left,top_choice_attempts_center,top_choice_attempts_right,top_choice_middle_third,top_choice_attacking_third,top_choice_attempts_middle_third,top_choice_attempts_attacking_third,top_choice_penalty,top_choice_attempts_penalty,top_choice_build_up,top_choice_create,top_choice_finish,top_choice_direct,top_choice_quick_break,top_choice_transition,top_choice_set_play,top_choice_chaotic,top_choice_attempts_build_up,top_choice_attempts_create,top_choice_attempts_finish,top_choice_attempts_direct,top_choice_attempts_quick_break,top_choice_attempts_transition,top_choice_attempts_set_play,top_choice_attempts_chaotic,top_movement_jogging,top_movement_running,top_movement_hsr,top_movement_sprinting,top_off_ball_runs_running,top_off_ball_runs_hsr,top_off_ball_runs_sprinting,match_played
76645832,Adelaide United,13.79,7.91,0.33,323.0,37.25,0.16,3.12,7.77,0.04,0.3,1.12,0.52,0.72,0.01,1.72,5.23,0.02,0.0,0.68,0.12,0.11,1.09,0.05,3.82,0.01,0.06,0.06,0.05,1.48,1.17,0.15,0.5,10.75,0.0,13.75,12.25,0.0,4.63,9.16,0.0,2.52,5.39,0.0,0.37,0.3,0.0,126.0,197.0,0.0,7.5,29.75,2.84,8.2,2.76,2.58,11.11,5.93,1.12,5.54,1.22,0.65,7.26,4.52,0.31,0.4,0.29,99.0,94.0,130.0,0.35,0.39,165.0,81.0,0.72,21.0,0.26,0.38,0.27,0.55,0.5,0.25,0.67,0.23,64.0,135.0,70.0,11.0,2.0,8.0,6.0,22.0,7.01,2.36,2.84,1.18,3.2,3.95,0.77,1
38835694,Auckland FC,12.43,6.38,0.27,311.5,27.31,0.06,1.7,6.44,0.24,0.66,1.46,0.97,0.85,0.0,0.81,3.28,0.12,0.51,1.21,0.18,0.24,0.57,0.08,3.32,0.05,0.17,0.05,0.07,1.22,0.65,0.18,0.0,6.94,0.56,13.25,6.56,3.33,6.57,2.52,1.66,3.39,1.34,0.23,0.26,0.06,70.0,169.25,72.25,10.81,11.5,5.0,3.62,6.94,1.88,2.26,10.09,5.16,1.59,4.13,0.67,0.78,5.58,3.69,0.27,0.4,0.2,121.25,75.25,115.0,0.25,0.36,169.25,101.5,0.5,17.0,0.19,0.25,0.31,0.52,0.15,0.23,0.3,0.22,24.75,123.5,90.75,12.0,3.5,14.25,11.25,28.5,5.96,2.76,1.71,0.71,3.76,2.02,0.52,4
98277750,Brisbane FC,16.91,4.85,0.28,449.0,19.75,0.09,2.02,10.36,0.1,2.89,0.0,0.8,0.62,0.0,0.72,2.61,0.0,1.01,0.0,0.36,0.15,0.35,0.11,1.26,0.02,0.16,0.12,0.12,1.75,0.81,0.1,0.0,4.25,0.0,9.75,5.75,0.0,9.29,7.61,0.0,2.89,1.96,0.0,0.28,0.28,0.0,318.0,131.0,0.0,16.0,3.75,3.12,9.45,4.32,2.37,14.46,7.24,0.96,2.39,1.48,0.46,4.38,1.86,0.28,0.32,0.25,145.0,120.0,184.0,0.29,0.31,249.0,148.0,0.32,28.0,0.25,0.28,0.25,0.54,0.19,0.0,0.17,0.47,35.0,190.0,169.0,13.0,16.0,0.0,6.0,19.0,11.76,2.93,0.56,0.06,3.88,0.91,0.01,1
7686682,CC Mariners,4.78,1.8,0.33,236.0,24.25,0.13,1.26,1.61,0.07,0.58,0.14,0.69,0.27,0.01,0.55,0.44,0.02,0.51,0.12,0.1,0.03,0.7,0.05,0.07,0.0,0.06,0.04,0.02,0.44,0.36,0.03,0.25,11.0,0.0,6.75,6.25,0.0,1.33,3.45,0.0,0.45,1.36,0.0,0.34,0.31,0.0,109.0,127.0,0.0,19.5,4.75,1.48,2.25,1.02,1.45,3.23,1.19,0.87,0.49,0.43,0.5,1.29,0.6,0.27,0.48,0.28,78.0,61.0,97.0,0.38,0.45,130.0,33.0,0.71,7.0,0.3,0.26,0.41,0.67,0.0,0.4,0.75,0.29,68.0,92.0,27.0,15.0,1.0,5.0,4.0,24.0,2.77,0.64,0.83,0.02,0.88,0.79,0.09,1
2508066,Macarthur FC,6.74,2.71,0.25,274.0,24.75,0.16,2.4,2.65,0.19,0.55,0.46,0.13,0.16,0.05,0.72,1.05,0.08,0.54,0.16,0.1,0.03,0.25,0.06,0.82,0.03,0.06,0.06,0.04,1.03,0.28,0.09,0.0,9.25,0.75,6.0,8.75,0.0,1.27,5.45,0.0,0.88,1.83,0.0,0.22,0.26,0.0,78.0,196.0,0.0,7.25,17.5,1.74,3.17,1.81,2.2,4.42,1.87,0.47,1.44,0.82,0.52,2.16,1.22,0.26,0.31,0.21,104.0,58.0,112.0,0.23,0.49,158.0,41.0,0.62,8.0,0.17,0.25,0.33,0.28,1.0,0.67,1.0,0.2,60.0,141.0,36.0,14.0,1.0,3.0,1.0,15.0,3.67,1.57,0.59,0.22,2.04,0.6,0.07,1
1031408,Melbourne City,13.94,6.05,0.3,438.5,11.62,0.12,2.6,7.84,0.22,0.55,0.78,1.06,0.73,0.02,1.19,3.42,0.15,0.26,0.64,0.26,0.09,1.23,0.14,2.62,0.07,0.09,0.1,0.12,1.17,0.42,0.11,0.12,5.12,0.0,4.38,2.0,6.12,7.82,0.0,2.68,3.37,0.0,0.33,0.29,0.0,193.0,245.5,0.0,9.25,2.38,0.0,4.03,7.3,2.62,2.68,11.16,5.54,1.54,3.58,0.92,0.68,5.33,3.13,0.29,0.34,0.29,170.5,116.0,152.0,0.32,0.33,249.5,105.0,0.35,16.0,0.28,0.3,0.28,0.57,0.18,0.6,0.39,0.43,56.0,227.0,107.5,10.5,5.5,3.0,13.0,15.5,8.28,2.43,1.71,0.8,3.83,1.4,0.83,2
55736753,Melbourne V FC,14.14,5.64,0.27,303.5,13.75,0.08,1.64,8.29,0.12,0.66,1.6,0.94,0.8,0.0,0.66,3.16,0.02,0.3,1.2,0.08,0.19,0.62,0.06,1.97,0.02,0.16,0.04,0.08,1.56,1.01,0.11,0.38,2.88,0.62,7.12,2.75,4.13,7.34,2.68,1.78,3.22,0.66,0.13,0.24,0.17,68.0,169.5,66.0,2.62,9.25,1.88,3.96,7.72,2.43,1.96,12.09,5.62,1.36,3.2,1.06,0.45,5.18,2.8,0.25,0.34,0.25,136.5,70.5,96.5,0.31,0.27,145.0,125.0,0.72,15.5,0.24,0.27,0.24,0.39,0.12,0.26,0.13,0.37,19.0,112.0,110.5,11.5,2.0,13.5,8.5,25.0,8.5,2.0,1.64,0.45,3.08,2.13,0.34,2
36600101,Newcastle,7.72,4.05,0.27,320.0,29.75,0.23,2.28,4.18,0.11,0.0,0.0,0.43,0.51,0.05,1.28,2.36,0.07,0.0,0.0,0.04,0.2,1.45,0.07,1.07,0.04,0.02,0.06,0.07,0.81,0.36,0.06,-0.5,13.5,0.25,7.25,9.25,0.0,6.7,1.02,0.0,3.6,0.42,0.0,0.26,0.29,0.0,269.0,51.0,0.0,29.0,0.75,2.28,4.17,1.28,2.16,5.39,2.6,1.01,2.37,0.62,0.76,3.21,1.53,0.27,0.29,0.25,121.0,66.0,133.0,0.26,0.37,178.0,41.0,0.33,6.0,0.29,0.23,0.28,0.56,0.0,0.0,0.25,0.33,72.0,163.0,46.0,9.0,0.0,0.0,4.0,24.0,3.35,1.24,1.36,0.72,1.78,1.6,0.54,1
48571533,Perth Glory,9.94,5.44,0.26,266.0,48.0,0.12,1.53,5.44,0.13,0.87,0.46,0.0,1.36,0.03,0.86,2.81,0.04,0.82,0.34,0.0,0.53,0.18,0.06,2.72,0.02,0.07,0.01,0.08,1.54,0.65,0.07,0.5,20.5,0.75,12.75,13.5,1.29,8.65,0.0,0.59,4.84,0.0,0.27,0.26,0.0,40.0,226.0,0.0,17.0,31.0,0.0,1.51,5.98,2.44,2.1,7.67,3.93,0.38,3.76,1.27,0.75,4.65,3.14,0.28,0.28,0.23,83.0,82.0,101.0,0.24,0.41,156.0,54.0,0.5,14.0,0.22,0.2,0.27,0.47,0.67,0.56,0.0,0.27,46.0,103.0,59.0,15.0,3.0,9.0,0.0,30.0,4.71,2.18,1.98,0.31,3.14,1.96,0.3,1
87701829,Sydney FC,14.73,6.48,0.3,372.5,29.12,0.3,1.99,8.72,0.15,0.42,0.7,1.14,1.28,0.07,0.66,3.96,0.08,0.14,0.55,0.36,0.64,1.25,0.09,2.18,0.03,0.13,0.02,0.02,1.5,1.14,0.11,0.12,9.38,0.88,11.12,7.62,4.56,3.34,6.82,2.31,1.43,2.73,0.13,0.3,0.16,100.5,104.0,168.0,11.5,6.62,11.0,3.62,7.5,3.59,2.78,11.84,5.3,1.35,3.87,1.24,0.77,5.67,2.82,0.25,0.45,0.25,130.0,92.5,150.0,0.27,0.41,184.0,123.0,0.68,18.5,0.22,0.27,0.29,0.36,0.39,0.4,0.47,0.57,54.0,137.5,116.5,9.5,6.5,8.0,13.0,27.0,8.23,2.82,1.84,0.68,3.75,1.89,0.74,2
56764041,Wellington P FC,10.24,5.11,0.28,277.5,38.25,0.2,1.66,4.82,0.32,0.6,0.92,0.72,0.99,0.06,0.84,2.33,0.16,0.46,0.64,0.24,0.31,0.9,0.04,2.25,0.06,0.16,0.08,0.05,1.04,0.41,0.06,1.0,11.38,0.25,15.75,9.88,0.0,2.74,7.52,0.0,1.54,3.56,0.0,0.25,0.29,0.0,78.5,199.0,0.0,16.38,21.88,2.27,5.92,2.05,2.24,7.84,4.12,0.93,3.04,1.1,0.8,4.26,2.75,0.23,0.4,0.25,101.5,71.0,105.0,0.29,0.4,130.5,70.0,0.55,14.5,0.24,0.23,0.33,0.42,0.17,0.35,0.52,0.33,60.0,99.5,49.0,15.5,2.5,11.5,7.0,29.0,4.7,1.54,1.94,0.9,2.08,2.17,0.66,2
24380389,Western United,13.19,7.5,0.27,277.0,20.0,0.18,2.36,5.11,0.26,1.47,1.74,0.34,1.7,0.02,1.22,2.83,0.13,0.74,1.64,0.0,0.88,2.0,0.06,2.34,0.01,0.09,0.08,0.04,2.1,0.72,0.04,0.0,7.0,0.0,7.88,5.12,11.34,1.85,0.0,6.27,1.22,0.0,0.29,0.2,0.0,225.5,51.5,0.0,19.12,0.88,0.0,3.35,8.3,1.54,2.98,10.02,4.34,1.29,5.4,0.82,0.9,6.52,3.62,0.24,0.38,0.2,120.0,83.5,73.5,0.28,0.39,141.5,57.0,0.53,7.5,0.17,0.26,0.24,0.65,0.55,0.24,0.25,0.23,57.0,107.0,37.0,16.5,10.5,11.0,2.5,30.5,5.6,2.42,2.38,1.55,3.58,2.69,1.18,2
